	0	1	2	3
0	Mar 31st 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17820.html	Washington	DC
1	Mar 25th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17817.html	Boston	Massachusetts
2	Mar 25th 2014	http://www.profightdb.com/cards/wwe/main-event-17816.html	Boston	Massachusetts
3	Mar 24th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17815.html	Brooklyn	New York
4	Mar 24th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17814.html	Brooklyn	New York
5	Mar 18th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17799.html	Houston	Texas
6	Mar 18th 2014	http://www.profightdb.com/cards/wwe/main-event-17798.html	Houston	Texas
7	Mar 17th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17796.html	San Antonio	Texas
8	Mar 17th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17795.html	San Antonio	Texas
9	Mar 11th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17789.html	Little Rock	Arkansas
0	Mar 11th 2014	http://www.profightdb.com/cards/wwe/main-event-17788.html	Little Rock	Arkansas
1	Mar 10th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17786.html	Memphis	Tennessee
2	Mar 10th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17785.html	Memphis	Tennessee
3	Mar 4th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17774.html	Detroit	Michigan
4	Mar 4th 2014	http://www.profightdb.com/cards/wwe/main-event-17773.html	Detroit	Michigan
5	Mar 3rd 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17772.html	Chicago	Illinois
6	Mar 3rd 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17771.html	Chicago	Illinois
7	Feb 25th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17763.html	Milwaukee	Wisconsin
8	Feb 25th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17762.html	Milwaukee	Wisconsin
9	Feb 24th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17761.html	Green Bay	Wisconsin
0	Feb 24th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17760.html	Green Bay	Wisconsin
1	Feb 23rd 2014	http://www.profightdb.com/cards/wwe/elimination-chamber-3914-17757.html	Minneapolis	Minnesota
2	Feb 18th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17752.html	Colorado Springs	Colorado
3	Feb 18th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17751.html	Colorado Springs	Colorado
4	Feb 17th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17739.html	Denver	Colorado
5	Feb 17th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17738.html	Denver	Colorado
6	Feb 11th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17690.html	Ontario	California
7	Feb 11th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17689.html	Ontario	California
8	Feb 10th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17688.html	Los Angeles	California
9	Feb 10th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17687.html	Los Angeles	California
0	Feb 9th 2014	http://www.profightdb.com/cards/wwe/wwe-live-19074.html	Bakersfield	California
1	Feb 4th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17684.html	Des Moines	Iowa
2	Feb 4th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17683.html	Des Moines	Iowa
3	Feb 3rd 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17682.html	Omaha	Nebraska
4	Feb 3rd 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17681.html	Omaha	Nebraska
5	Jan 28th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17630.html	Toledo	Ohio
6	Jan 28th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17629.html	Toledo	Ohio
7	Jan 27th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17628.html	Cleveland	Ohio
8	Jan 27th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17627.html	Cleveland	Ohio
9	Jan 26th 2014	http://www.profightdb.com/cards/wwe/royal-rumble-3914-17626.html	Pittsburgh	Pennsylvania
0	Jan 21st 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17572.html	Grand Rapids	Michigan
1	Jan 21st 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17571.html	Grand Rapids	Michigan
2	Jan 20th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17569.html	Dayton	Ohio
3	Jan 20th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17568.html	Dayton	Ohio
4	Jan 14th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17558.html	Worcester	Massachusetts
5	Jan 14th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17557.html	Worcester	Massachusetts
6	Jan 13th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17556.html	Providence	Rhode Island
7	Jan 13th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17555.html	Providence	Rhode Island
8	Jan 7th 2014	http://www.profightdb.com/cards/wwe/smackdown-taping-17544.html	Philadelphia	Pennsylvania
9	Jan 7th 2014	http://www.profightdb.com/cards/wwe/main-event-taping-17543.html	Philadelphia	Pennsylvania
0	Jan 6th 2014	http://www.profightdb.com/cards/wwe/monday-night-raw-17542.html	Baltimore	Maryland
1	Jan 6th 2014	http://www.profightdb.com/cards/wwe/superstars-taping-17541.html	Baltimore	Maryland
2	Dec 30th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17529.html	Richmond	Virginia
3	Dec 30th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17528.html	Richmond	Virginia
4	Dec 29th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17533.html	Washington	DC
5	Dec 29th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17532.html	Washington	DC
6	Dec 19th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17527.html	Corpus Christi	Texas
7	Dec 19th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17526.html	Corpus Christi	Texas
8	Dec 18th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17522.html	San Antonio	Texas
9	Dec 18th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17521.html	San Antonio	Texas
0	Dec 17th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17520.html	Austin	Texas
1	Dec 17th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-taping-17519.html	Austin	Texas
2	Dec 16th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17517.html	Dallas	Texas
3	Dec 16th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17516.html	Dallas	Texas
4	Dec 15th 2013	http://www.profightdb.com/cards/wwe/tlc---tables-ladders--chairs-3913-17515.html	Houston	Texas
5	Dec 10th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17510.html	Portland	Oregon
6	Dec 10th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17509.html	Portland	Oregon
7	Dec 10th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17508.html	Portland	Oregon
8	Dec 9th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw---2013-slammy-awards-17507.html	Seattle	Washington
9	Dec 3rd 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17497.html	Tulsa	Oklahoma
0	Dec 3rd 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17496.html	Tulsa	Oklahoma
1	Dec 2nd 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17493.html	Oklahoma City	Oklahoma
2	Dec 2nd 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17492.html	Oklahoma City	Oklahoma
3	Nov 26th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17488.html	Uncasville	Connecticut
4	Nov 26th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17487.html	Uncasville	Connecticut
5	Nov 25th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17486.html	Uniondale	New York
6	Nov 25th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17485.html	Uniondale	New York
7	Nov 24th 2013	http://www.profightdb.com/cards/wwe/survivor-series-3913-17481.html	Boston	Massachusetts
8	Nov 19th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17467.html	Atlanta	Georgia
9	Nov 19th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17466.html	Atlanta	Georgia
0	Nov 18th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17460.html	Nashville	Tennessee
1	Nov 18th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17459.html	Nashville	Tennessee
2	Nov 12th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17453.html	Manchester	England
3	Nov 12th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17452.html	Manchester	England
4	Nov 11th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-taping-17451.html	Manchester	England
5	Nov 11th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17450.html	Manchester	England
6	Nov 5th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17443.html	Charlotte	North Carolina
7	Nov 5th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17442.html	Charlotte	North Carolina
8	Nov 4th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17441.html	Greenville	South Carolina
