	0	1	2	3
8	Nov 8th 1994	http://www.profightdb.com/cards/wwf/sunday-night-slam-survivor-series-showdown-3994-taping-2-10658.html	Bushkill	Pennsylvania
9	Nov 8th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-428-13243.html	Bushkill	Pennsylvania
0	Nov 8th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-427-13242.html	Bushkill	Pennsylvania
1	Nov 8th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-426-13241.html	Bushkill	Pennsylvania
2	Nov 7th 1994	http://www.profightdb.com/cards/wwf/sunday-night-slam-survivor-series-showdown-3994-taping-1-10659.html	Bushkill	Pennsylvania
3	Nov 7th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-889.html	Bushkill	Pennsylvania
4	Nov 7th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-888.html	Bushkill	Pennsylvania
5	Nov 7th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-887.html	Bushkill	Pennsylvania
6	Oct 29th 1994	http://www.profightdb.com/cards/wwf/msg-show-oct-3994-5143.html	New York	New York
7	Oct 19th 1994	http://www.profightdb.com/cards/wwf/action-zone-5-15439.html	Albany	New York
8	Oct 19th 1994	http://www.profightdb.com/cards/wwf/action-zone-4-15438.html	Albany	New York
9	Oct 19th 1994	http://www.profightdb.com/cards/wwf/action-zone-3-15437.html	Albany	New York
0	Oct 19th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-427-15393.html	Albany	New York
1	Oct 19th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-426-15392.html	Albany	New York
2	Oct 19th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-425-15382.html	Albany	New York
3	Oct 18th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-425-13240.html	Burlington	Vermont
4	Oct 18th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-424-13239.html	Burlington	Vermont
5	Oct 18th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-423-13238.html	Burlington	Vermont
6	Oct 17th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-886.html	Burlington	Vermont
7	Oct 17th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-885.html	Burlington	Vermont
8	Oct 17th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-884.html	Burlington	Vermont
